category,size,long,short
B,B1,1030,728
A,A1,84.1,59.4
S,S{スクエア},100,100
F,0号,180,140
F,1号,220,160
F,SM,227,158
F,2号,240,190
F,3号,273,220
F,4号,333,242
F,5号,350,270
F,6号,410,318
F,8号,455,380
F,10号,530,455
F,12号,606,500
F,15号,652,530
F,20号,727,606
F,25号,803,652
F,30号,910,727
F,40号,1000,803
F,50号,1167,910
F,60号,1303,970
F,80号,1455,1120
F,100号,1620,1303
F,120号,1940,1303
F,130号,1940,1620
F,150号,2273,1818
F,200号,2590,1940
F,300号,2910,2182
F,500号,3333,2485
P,0号,180,120
P,1号,220,140
P,2号,240,160
P,3号,273,190
P,4号,333,220
P,5号,350,240
P,6号,410,273
P,8号,455,333
P,10号,530,410
P,12号,606,455
P,15号,652,500
P,20号,727,530
P,25号,803,606
P,30号,910,652
P,40号,1000,727
P,50号,1167,803
P,60号,1303,894
P,80号,1455,970
P,100号,1620,1120
P,120号,1940,1120
P,150号,2273,1620
P,200号,2590,1818
P,300号,2910,1970
P,500号,3333,2182
M,0号,180,100
M,1号,220,120
M,2号,240,140
M,3号,273,160
M,4号,333,190
M,5号,350,220
M,6号,410,242
M,8号,455,273
M,10号,530,333
M,12号,606,410
M,15号,652,455
M,20号,727,500
M,25号,803,530
M,30号,910,606
M,40号,1000,652
M,50号,1167,727
M,60号,1303,803
M,80号,1455,894
M,100号,1620,970
M,120号,1940,970
M,150号,2273,1455
M,200号,2590,1620
M,300号,2910,1818
M,500号,3333,1970
